ride_id,number_of_ticket
247,13.351744186046512
256,7.8
275,5.215686274509804
285,7.8
286,7.8
287,13.351744186046512
288,7.8
292,13.351744186046512
298,7.8
302,7.8
310,13.351744186046512
311,7.8
329,13.351744186046512
341,7.8
344,7.8
358,7.8
364,7.8
373,7.8
374,7.8
377,13.351744186046512
399,7.310855263157895
401,5.958333333333333
410,5.958333333333333
418,13.351744186046512
427,5.958333333333333
432,5.215686274509804
434,5.215686274509804
436,5.215686274509804
438,13.351744186046512
464,5.215686274509804
468,7.8
469,13.351744186046512
470,13.351744186046512
471,13.351744186046512
473,13.351744186046512
475,7.8
485,13.351744186046512
486,13.351744186046512
494,13.351744186046512
496,7.8
508,5.215686274509804
519,7.8
530,5.215686274509804
531,7.8
545,7.8
553,7.8
563,7.8
573,7.8
583,7.8
592,7.8
595,13.351744186046512
605,7.8
606,7.8
617,7.8
640,7.8
651,7.8
662,7.8
670,7.8
674,13.351744186046512
679,7.8
697,13.351744186046512
700,13.351744186046512
709,7.8
718,13.351744186046512
735,7.8
757,7.8
760,13.351744186046512
765,7.8
780,7.8
793,7.8
807,7.8
841,7.8
854,7.8
856,7.8
888,7.619765494137353
902,7.8
956,5.215686274509804
964,7.8
965,13.351744186046512
971,13.351744186046512
972,7.8
977,7.8
978,13.351744186046512
988,7.8
1014,7.8
1044,7.8
1054,13.351744186046512
1078,7.8
1114,7.8
1123,5.958333333333333
1136,7.8
1152,7.8
1166,7.8
1184,7.8
1185,13.351744186046512
1201,7.8
1210,7.8
1223,7.8
1232,7.8
1246,7.8
1252,7.8
1264,7.8
1265,13.351744186046512
1276,7.8
1332,7.8
1359,13.351744186046512
1370,7.8
1424,13.351744186046512
1425,7.619765494137353
1457,13.351744186046512
1505,7.310855263157895
1531,13.351744186046512
1566,5.215686274509804
1593,5.215686274509804
1613,13.351744186046512
1614,7.8
1620,5.215686274509804
1623,7.8
1627,13.351744186046512
1633,7.8
1636,7.8
1639,13.351744186046512
1651,7.8
1668,5.958333333333333
1669,7.8
1670,7.8
1671,7.8
1673,7.8
1675,7.8
1687,7.8
1689,13.351744186046512
1695,7.8
1704,7.8
1722,7.8
1736,7.8
1750,7.8
1789,7.8
1816,13.351744186046512
1823,13.351744186046512
1879,7.8
1894,7.8
1904,7.8
1923,7.8
1930,7.8
1931,7.8
1937,7.8
1942,7.8
1967,7.8
1968,7.8
1974,7.8
1976,7.8
1977,13.351744186046512
1986,7.8
1993,7.8
2000,13.351744186046512
2004,13.351744186046512
2014,7.8
2018,7.8
2021,7.8
2036,13.351744186046512
2037,13.351744186046512
2059,13.351744186046512
2084,7.8
2087,7.8
2140,7.8
2157,7.8
2170,7.619765494137353
2172,7.8
2175,7.8
2201,7.8
2261,7.619765494137353
2280,13.351744186046512
2283,7.310855263157895
2289,5.958333333333333
2298,5.958333333333333
2306,5.958333333333333
2314,5.215686274509804
2317,5.215686274509804
2363,13.351744186046512
2365,7.8
2366,13.351744186046512
2391,13.351744186046512
2394,13.351744186046512
2404,7.8
2406,7.8
2417,13.351744186046512
2430,7.8
2437,7.8
2454,7.8
2487,7.8
2491,7.8
2500,7.8
2524,7.8
2543,7.8
2565,7.8
2598,7.8
2599,7.8
2615,7.8
2620,7.8
2636,7.8
2651,7.8
2652,7.8
2658,7.8
2678,7.8
2700,7.8
2714,7.8
2731,7.8
2755,7.8
2837,7.8
2843,7.8
2907,7.8
2908,7.8
2932,7.8
2934,7.8
2936,7.8
2937,7.8
2955,7.8
2957,7.8
3016,7.8
3037,7.8
3047,13.351744186046512
3149,7.8
3156,13.351744186046512
3167,13.351744186046512
3257,7.8
3274,7.8
3304,7.8
3345,7.619765494137353
3346,7.8
3354,5.215686274509804
3373,5.215686274509804
3417,13.351744186046512
3420,13.351744186046512
3428,13.351744186046512
3433,13.351744186046512
3434,5.958333333333333
3436,7.8
3442,13.351744186046512
3452,7.8
3469,7.8
3472,5.215686274509804
3478,7.8
3480,7.8
3484,7.8
3498,7.8
3507,7.8
3511,7.8
3513,7.8
