ride_id,number_of_ticket
247,3.2
256,10.5
275,43.0
285,11.0
286,6.5
287,4.6
288,24.7
292,1.7
298,10.4
302,8.8
310,2.8
311,1.3
329,1.6
341,8.3
344,1.5
358,3.6
364,2.9
373,3.2
374,10.3
377,7.6
399,1.8
401,10.7
410,9.3
418,1.0
427,30.6
432,8.6
434,8.5
436,3.8
438,4.0
464,1.3
468,10.4
469,9.0
470,8.2
471,2.1
473,7.2
475,2.0
485,5.2
486,7.2
494,7.3
496,2.4
508,3.5
519,9.0
530,10.9
531,9.7
545,3.0
553,3.9
563,40.4
573,4.6
583,15.9
592,2.0
595,10.2
605,9.6
606,11.5
617,1.7
640,1.8
651,1.6
662,28.2
670,11.4
674,2.9
679,15.4
697,2.0
700,11.9
709,9.4
718,9.0
735,9.6
757,3.5
760,11.0
765,6.7
780,5.0
793,3.0
807,1.7
841,9.2
854,18.7
856,10.3
888,9.3
902,9.9
956,4.2
964,2.8
965,9.7
971,2.0
972,25.9
977,10.0
978,9.0
988,1.5
1014,1.7
1044,3.3
1054,5.2
1078,9.6
1114,7.4
1123,10.0
1136,6.4
1152,10.3
1166,1.3
1184,7.2
1185,9.5
1201,1.3
1210,3.5
1223,2.3
1232,10.4
1246,4.2
1252,9.5
1264,18.8
1265,1.0
1276,10.2
1332,4.8
1359,1.0
1370,2.8
1424,10.3
1425,1.4
1457,3.0
1505,4.9
1531,2.6
1566,4.5
1593,29.0
1613,6.7
1614,4.0
1620,4.9
1623,1.0
1627,10.6
1633,8.1
1636,8.0
1639,17.8
1651,1.6
1668,11.1
1669,4.8
1670,4.7
1671,6.5
1673,8.9
1675,1.4
1687,8.0
1689,7.1
1695,3.2
1704,6.5
1722,10.4
1736,6.7
1750,9.8
1789,23.4
1816,1.8
1823,6.6
1879,5.7
1894,10.7
1904,6.6
1923,1.3
1930,7.6
1931,10.4
1937,2.5
1942,3.4
1967,2.2
1968,30.1
1974,1.5
1976,8.8
1977,7.5
1986,1.8
1993,2.7
2000,2.8
2004,7.8
2014,7.3
2018,2.9
2021,8.3
2036,8.5
2037,33.4
2059,2.6
2084,30.1
2087,7.9
2140,9.4
2157,8.9
2170,1.5
2172,4.0
2175,9.7
2201,9.4
2261,9.0
2280,12.1
2283,1.6
2289,1.2
2298,9.2
2306,5.4
2314,9.7
2317,10.3
2363,5.2
2365,1.9
2366,12.5
2391,2.7
2394,7.0
2404,1.2
2406,15.6
2417,9.4
2430,6.6
2437,5.0
2454,9.8
2487,9.4
2491,1.9
2500,3.4
2524,19.4
2543,9.4
2565,8.9
2598,9.2
2599,1.3
2615,7.6
2620,21.8
2636,1.1
2651,8.5
2652,5.4
2658,10.1
2678,1.6
2700,4.2
2714,5.2
2731,5.4
