ride_id,number_of_ticket
247,7.4
256,7.4
275,4.6
285,7.4
286,4.0
287,7.4
288,4.6
292,1.2
298,4.6
302,4.6
310,4.6
311,4.6
329,4.0
341,4.0
344,9.6
358,4.0
364,2.4
373,7.4
374,7.4
377,4.0
399,4.0
401,2.0
410,18.6
418,7.4
427,7.4
432,7.4
434,7.4
436,7.4
438,7.4
464,15.2
468,1.2
469,7.4
470,5.0
471,7.4
473,15.2
475,7.4
485,4.6
486,4.6
494,4.6
496,4.6
508,15.2
519,18.6
530,15.2
531,1.2
545,1.2
553,1.2
563,7.4
573,7.4
583,7.4
592,15.2
595,2.4
605,15.2
606,4.6
617,7.4
640,15.2
651,4.6
662,12.4
670,20.6
674,7.4
679,7.4
697,7.4
700,7.4
709,4.0
718,7.4
735,4.6
757,7.4
760,7.4
765,4.0
780,7.4
793,12.4
807,7.4
841,4.6
854,7.4
856,4.6
888,9.6
902,9.6
956,2.4
964,7.4
965,1.2
971,7.4
972,4.0
977,4.0
978,7.4
988,7.4
1014,15.2
1044,7.4
1054,20.6
1078,7.4
1114,7.4
1123,7.4
1136,4.6
1152,20.6
1166,4.0
1184,12.4
1185,7.4
1201,1.2
1210,7.4
1223,7.4
1232,7.4
1246,4.6
1252,7.4
1264,7.4
1265,7.4
1276,6.2
1332,7.4
1359,7.4
1370,1.2
1424,18.6
1425,7.4
1457,4.0
1505,7.4
1531,4.0
1566,7.4
1593,15.2
1613,4.6
1614,4.6
1620,1.2
1623,1.2
1627,1.8
1633,4.0
1636,5.0
1639,7.4
1651,4.6
1668,7.4
1669,4.6
1670,7.4
1671,9.6
1673,7.4
1675,7.4
1687,4.6
1689,4.6
1695,4.0
1704,7.4
1722,4.6
1736,7.4
1750,4.0
1789,7.4
1816,18.6
1823,1.4
1879,15.2
1894,4.6
1904,7.4
1923,15.2
1930,9.6
1931,7.4
1937,7.4
1942,4.0
1967,7.4
1968,7.4
1974,2.0
1976,1.2
1977,4.6
1986,7.4
1993,7.4
2000,1.2
2004,7.4
2014,1.2
2018,4.6
2021,4.6
2036,12.4
2037,7.4
2059,7.4
2084,2.4
2087,7.4
2140,7.4
2157,4.6
2170,7.4
2172,7.4
2175,1.2
2201,5.0
2261,9.6
2280,1.2
2283,7.4
2289,9.4
2298,18.6
2306,7.4
2314,7.4
2317,15.2
2363,7.4
2365,1.8
2366,7.4
2391,7.4
2394,4.6
2404,7.4
2406,1.8
2417,7.4
2430,7.4
2437,7.4
2454,4.0
2487,7.4
2491,15.2
2500,5.0
2524,12.4
2543,7.4
2565,7.4
2598,4.6
2599,9.4
2615,7.4
2620,7.4
2636,7.4
2651,2.0
2652,7.4
2658,7.4
2678,4.6
2700,7.4
2714,20.6
2731,7.4
2755,1.8
2837,7.4
2843,7.4
2907,12.4
2908,7.4
2932,20.6
2934,7.4
2936,18.6
2937,4.6
2955,1.8
2957,7.4
3016,4.6
3037,12.4
3047,12.4
3149,12.4
3156,4.0
3167,15.2
3257,7.4
3274,2.0
3304,7.4
3345,4.6
3346,9.6
3354,7.4
3373,5.0
3417,7.4
3420,7.4
3428,2.0
3433,12.4
3434,20.6
3436,7.4
3442,18.6
3452,18.6
3469,7.4
3472,1.8
3478,4.0
3480,7.4
3484,7.4
3498,7.4
3507,7.4
3511,15.2
3513,4.6
3524,7.4
3530,7.4
3531,7.4
3532,20.6
3534,7.4
3535,15.2
3546,7.4
3548,7.4
3555,15.2
3556,4.6
3575,15.2
3578,7.4
3582,1.2
3583,7.4
3584,7.4
3585,15.2
3586,7.4
3604,7.4
3613,7.4
3614,7.4
3615,5.0
3652,7.4
3697,7.4
3707,15.2
3717,5.0
3731,1.2
3741,7.4
3750,7.4
3767,4.0
3805,7.4
3814,18.6
3818,4.6
3846,20.6
3921,4.6
3965,4.6
3970,9.6
3991,4.6
4010,4.0
4011,7.4
4039,7.4
4040,7.4
4114,4.6
4115,15.2
4127,15.2
4134,4.6
4135,1.6
4141,4.0
4143,5.0
4162,7.4
4172,4.6
4177,7.4
4193,1.2
4210,7.4
4220,9.6
4242,9.6
4248,20.6
4338,7.4
4372,7.4
4373,7.4
4380,18.6
4429,1.2
4446,2.0
4523,15.2
4548,7.4
4565,15.2
4581,7.4
4617,12.4
4669,7.4
4670,18.6
4697,18.6
4717,18.6
4722,4.6
4732,7.4
4743,7.4
4795,4.6
4809,18.6
4846,1.2
4873,7.4
4940,7.4
4972,7.4
4973,1.2
4981,4.0
5007,7.4
5038,7.4
5040,7.4
5089,7.4
5118,4.0
5123,2.0
5129,5.0
5141,9.6
5151,4.0
5157,7.4
5168,7.4
5174,15.2
5180,7.4
5188,1.8
5238,4.0
5239,12.4
5240,4.0
5241,18.6
5245,15.2
5248,18.6
5249,20.6
5250,15.2
5251,18.6
5252,4.6
5253,4.0
5261,4.0
5268,7.4
5273,6.2
5274,7.4
5275,2.0
5276,4.6
5280,7.4
5283,18.6
5285,4.0
5286,7.4
