ride_id,number_of_ticket
247,1.8
256,10.7
275,44.4
285,11.0
286,5.8
287,3.8
288,30.6
292,2.0
298,10.3
302,8.0
310,2.6
311,1.4
329,1.8
341,8.4
344,1.7
358,2.4
364,2.9
373,2.9
374,10.1
377,7.0
399,1.5
401,10.9
410,12.0
418,3.6
427,27.4
432,9.3
434,7.6
436,2.9
438,3.7
464,1.5
468,10.2
469,11.0
470,10.6
471,2.9
473,7.4
475,1.9
485,5.2
486,7.9
494,5.1
496,1.9
508,2.0
519,9.9
530,10.6
531,10.5
545,3.0
553,2.6
563,29.8
573,4.7
583,16.0
592,1.8
595,10.5
605,9.8
606,11.1
617,1.9
640,1.5
651,1.3
662,28.2
670,11.4
674,1.2
679,14.6
697,1.5
700,11.8
709,9.3
718,6.5
735,9.6
757,3.5
760,10.7
765,7.0
780,3.2
793,2.9
807,1.6
841,9.9
854,16.8
856,3.2
888,9.2
902,10.3
956,3.8
964,2.7
965,9.9
971,2.1
972,26.0
977,9.5
978,8.7
988,1.4
1014,1.5
1044,4.5
1054,4.8
1078,9.4
1114,9.0
1123,10.6
1136,8.0
1152,10.3
1166,1.3
1184,8.1
1185,8.2
1201,1.2
1210,3.5
1223,3.1
1232,9.3
1246,5.4
1252,8.1
1264,25.7
1265,1.8
1276,9.2
1332,5.2
1359,1.0
1370,3.0
1424,10.7
1425,2.6
1457,5.1
1505,7.6
1531,2.5
1566,2.7
1593,25.8
1613,6.7
1614,3.5
1620,4.0
1623,1.4
1627,8.2
1633,10.9
1636,8.4
1639,18.7
1651,1.3
1668,12.6
1669,5.6
1670,5.1
1671,7.6
1673,8.4
1675,1.9
1687,14.4
1689,7.1
1695,4.0
1704,7.4
1722,10.2
1736,4.9
1750,8.9
1789,25.4
1816,3.6
1823,8.5
1879,5.0
1894,10.2
1904,3.5
1923,1.4
1930,7.6
1931,11.0
1937,2.9
1942,3.7
1967,1.9
1968,28.4
1974,2.0
1976,6.8
1977,8.2
1986,2.1
1993,2.8
2000,3.2
2004,4.9
2014,7.1
2018,2.9
2021,8.7
2036,9.0
2037,34.7
2059,2.3
2084,30.7
2087,5.5
2140,11.0
2157,8.7
2170,1.2
2172,3.2
2175,10.0
2201,10.6
2261,9.1
2280,13.1
2283,1.7
2289,1.2
2298,9.3
2306,11.8
2314,9.9
2317,12.7
2363,6.9
2365,1.8
2366,12.5
2391,3.4
2394,6.8
2404,1.1
2406,14.2
2417,8.2
2430,6.8
2437,3.6
2454,8.3
2487,9.5
2491,2.0
2500,3.1
2524,18.2
2543,9.1
2565,10.2
2598,9.2
2599,1.7
2615,6.6
2620,26.7
2636,1.4
2651,7.3
2652,3.3
2658,10.6
2678,1.0
2700,3.6
2714,4.4
2731,4.0
2755,1.7
2837,12.0
2843,8.4
2907,4.6
2908,11.9
2932,4.5
2934,9.2
2936,13.5
2937,3.8
2955,11.0
2957,3.3
3016,8.3
3037,9.2
3047,2.6
3149,2.0
3156,7.8
3167,2.5
3257,2.0
3274,7.3
3304,2.2
3345,10.9
3346,12.3
3354,2.5
3373,2.0
3417,3.4
3420,12.7
3428,1.5
3433,11.1
3434,10.1
3436,38.8
3442,16.8
3452,15.4
3469,24.7
3472,5.6
3478,6.8
3480,10.3
3484,8.4
3498,3.4
3507,1.3
3511,1.4
3513,2.1
3524,2.5
3530,1.9
3531,1.9
3532,7.0
3534,4.1
3535,10.3
3546,33.0
3548,9.0
3555,2.6
3556,11.6
3575,1.2
3578,3.1
3582,4.0
3583,31.5
3584,5.1
3585,2.0
3586,13.4
3604,1.0
3613,8.8
3614,1.7
3615,31.8
3652,5.0
3697,3.0
3707,8.2
3717,1.9
3731,39.0
3741,8.9
3750,9.2
3767,2.5
3805,1.3
3814,36.4
3818,2.6
3846,2.8
3921,10.4
3965,10.2
3970,2.8
3991,13.5
4010,1.1
4011,10.4
4039,2.6
4040,5.0
4114,3.3
4115,28.9
4127,1.0
4134,23.3
4135,2.4
4141,15.6
4143,9.4
4162,3.5
4172,1.7
4177,8.9
4193,1.7
4210,8.2
4220,22.2
4242,11.0
4248,28.2
4338,1.0
4372,11.8
4373,11.8
4380,9.7
4429,9.9
4446,3.3
4523,9.0
4548,1.7
4565,2.2
4581,1.0
4617,2.4
4669,9.3
4670,1.4
4697,2.7
4717,1.0
4722,9.2
4732,6.6
4743,9.7
4795,8.3
4809,1.7
4846,11.4
4873,11.4
4940,1.4
4972,14.8
4973,2.2
4981,36.3
5007,31.7
5038,5.6
5040,9.3
5089,12.1
5118,10.1
5123,7.5
5129,8.8
5141,8.6
5151,5.2
5157,7.3
5168,31.0
5174,17.1
5180,25.4
5188,14.6
5238,9.0
5239,9.3
5240,9.5
5241,5.5
5245,5.7
5248,9.6
