ride_id,number_of_ticket
247,6.2
256,7.7
275,8.4
285,5.8
286,5.6
287,17.4
288,6.6
292,5.4
298,5.9
302,8.8
310,6.5
311,7.6
329,16.3
341,7.5
344,7.7
358,6.6
364,4.4
373,5.7
374,5.7
377,4.2
399,1.9
401,2.3
410,3.2
418,5.6
427,4.0
432,5.0
434,4.8
436,5.0
438,8.1
464,8.0
468,6.2
469,5.9
470,3.6
471,16.7
473,5.6
475,7.8
485,4.2
486,2.7
494,2.5
496,8.3
508,5.0
519,8.4
530,5.0
531,7.2
545,7.5
553,7.5
563,6.0
573,7.2
583,8.8
592,9.2
595,8.1
605,3.4
606,10.0
617,8.8
640,3.4
651,3.4
662,6.6
670,5.9
674,17.4
679,5.6
697,5.4
700,3.0
709,5.8
718,16.3
735,7.6
757,8.8
760,4.4
765,7.7
780,7.5
793,7.2
807,4.4
841,6.2
854,4.6
856,4.6
888,4.6
902,4.6
956,9.0
964,8.3
965,6.3
971,4.2
972,8.8
977,9.2
978,4.4
988,10.0
1014,8.8
1044,3.4
1054,2.7
1078,3.4
1114,3.4
1123,2.3
1136,6.6
1152,5.6
1166,5.8
1184,5.9
1185,8.1
1201,7.6
1210,8.8
1223,7.7
1232,7.5
1246,7.2
1252,4.9
1264,6.2
1265,3.0
1276,6.2
1332,5.1
1359,3.0
1370,5.1
1424,17.4
1425,4.6
1457,16.3
1505,1.9
1531,5.4
1566,5.0
1593,9.0
1613,6.3
1614,7.7
1620,5.0
1623,7.7
1627,4.2
1633,8.9
1636,5.8
1639,2.7
1651,5.8
1668,2.3
1669,8.4
1670,10.9
1671,10.2
1673,10.9
1675,9.5
1687,7.5
1689,3.0
1695,7.2
1704,6.9
1722,7.8
1736,8.3
1750,7.2
1789,7.5
1816,3.0
1823,8.1
1879,7.5
1894,6.0
1904,7.2
1923,8.8
1930,3.4
1931,9.2
1937,10.0
1942,8.8
1967,5.6
1968,3.4
1974,3.4
1976,5.9
1977,5.4
1986,8.8
1993,5.8
2000,16.3
2004,5.9
2014,7.7
2018,7.2
2021,7.5
2036,4.4
2037,3.0
2059,6.5
2084,7.6
2087,6.2
2140,4.9
2157,6.2
2170,4.6
2172,5.1
2175,5.1
2201,4.6
2261,1.9
2280,16.7
2283,1.9
2289,4.8
2298,4.0
2306,3.2
2314,4.8
2317,5.0
2363,6.3
2365,7.7
2366,4.2
2391,3.0
2394,2.5
2404,10.2
2406,7.7
2417,8.1
2430,8.9
2437,5.8
2454,5.8
2487,10.9
2491,10.9
2500,9.5
2524,7.5
2543,7.2
2565,6.9
2598,8.8
2599,7.8
2615,8.3
2620,8.4
2636,7.2
2651,9.2
2652,7.5
2658,7.5
2678,6.0
2700,7.2
2714,3.4
2731,10.0
2755,8.8
2837,6.6
2843,3.4
2907,3.4
2908,5.8
2932,5.6
2934,8.8
2936,7.7
2937,7.5
2955,5.9
2957,7.6
3016,7.2
3037,4.9
3047,3.0
3149,6.2
3156,16.3
3167,5.4
3257,6.2
3274,5.1
3304,5.1
3345,4.6
3346,4.6
3354,5.0
3373,5.0
3417,5.9
3420,4.4
3428,3.0
3433,6.3
3434,3.2
3436,8.9
3442,4.2
3452,5.8
3469,5.8
3472,4.8
3478,10.9
3480,10.9
3484,10.2
3498,7.5
3507,7.2
3511,7.2
3513,9.5
3524,7.5
3530,8.4
3531,8.1
3532,7.5
3534,3.4
3535,6.0
3546,3.4
3548,8.8
3555,5.0
3556,5.0
3575,8.0
3578,5.9
3582,10.0
3583,8.1
3584,3.4
3585,8.8
3586,5.0
3604,9.0
3613,17.4
3614,6.3
3615,5.0
3652,7.7
3697,8.9
3707,7.7
3717,5.8
3731,5.8
3741,10.2
3750,3.0
3767,2.7
3805,10.9
3814,10.9
3818,9.5
3846,7.5
3921,7.2
3965,6.9
3970,7.8
3991,8.3
4010,8.4
4011,2.5
4039,4.4
4040,7.2
4114,7.5
4115,7.5
4127,5.4
4134,6.0
4135,7.2
4141,9.2
4143,8.8
4162,10.0
4172,5.9
4177,8.8
4193,3.4
4210,3.4
4220,3.4
4242,6.6
4248,4.2
4338,8.1
4372,5.6
4373,4.4
4380,6.5
4429,5.8
4446,5.9
4523,7.6
4548,8.8
4565,7.7
4581,7.5
4617,7.2
4669,4.9
4670,6.2
4697,6.2
4717,5.1
4722,5.1
4732,4.6
4743,4.6
4795,1.9
4809,1.9
4846,2.3
4873,5.0
4940,9.0
4972,5.9
4973,16.3
4981,6.3
5007,7.8
5038,6.9
5040,8.3
5089,8.4
5118,7.2
5123,7.5
5129,2.7
5141,2.5
5151,7.5
5157,6.0
5168,7.2
5174,3.0
5180,8.8
5188,9.2
5238,3.4
5239,10.0
5240,8.8
5241,4.2
5245,3.4
5248,3.4
5249,7.6
5250,6.6
5251,5.6
5252,5.8
5253,5.9
5261,8.8
5268,7.5
5273,7.7
5274,4.9
5275,17.4
5276,6.2
5280,7.2
5283,5.1
5285,6.2
5286,5.1
5289,4.6
5295,4.6
5298,1.9
5302,1.9
5303,2.3
5305,3.2
5307,16.7
5311,4.0
5312,4.8
5316,5.0
5323,9.0
5330,6.3
5335,5.4
5337,7.5
5339,7.2
5345,6.9
5350,9.5
5361,7.8
5362,3.0
5369,8.3
5373,8.4
5376,5.1
5377,7.2
5379,7.5
5380,4.4
5383,7.5
5384,6.0
5392,7.2
5393,8.8
5399,4.2
5404,9.2
5408,10.0
5409,3.4
5411,8.8
5423,3.4
5424,3.4
5429,6.6
5430,5.6
5432,5.9
5438,7.6
5441,5.8
5455,8.8
5457,5.9
5458,7.7
5459,7.5
5469,7.2
5470,4.9
5474,6.2
5475,6.2
5476,5.1
5479,4.6
5482,4.6
5483,16.3
5484,1.9
5490,1.9
5492,2.3
5493,3.2
5495,4.0
5497,4.8
5498,4.8
5500,5.0
5501,16.7
5502,7.7
5503,5.0
5516,9.0
5517,9.0
5522,4.2
5523,8.8
5524,6.3
5535,3.4
5538,16.7
